,sentence
310,in a dive ?
311,into the water at night yeah .
312,when you you jump like that .
313,and the helicopter is like twenty feet above the water .
314,and you just jump ...
315,no way !
316,with full gear yeah .
317,full gear ?
318,yeah .
319,from like twice as high as this ...
320,and how do you get picked up ?
321,the ...
322,a lift ?
323,the helicopter comes down with a yeah .
324,what do you do ?
325,they have like a GPS on them or something for helicopters to find them at night time .
326,you put a buoy .
327,.
328,there's a buoy in certain spots .
329,and you have to come back to the buoy .
330,and he said you have under water like ten or fifteen feet under water .
331,there's a blinker that goes off on the buoy that you can see for like miles under water ...
332,for real ?
333,so you just have to like ...
334,because bro have you ever been night diving ?
335,no .
336,I've never been .
337,but my dad told me like it's the sickest craziest feeling ever .
338,because you can be be going down bro and you think you're going up .
339,you're going up yeah .
340,because you don't realize it .
341,so he says there's like a blinking ball just like a big light bulb .
342,and it just blinks and blinks and blinks like every two seconds .
343,so and you see it .
344,so and it's like ten fifteen feet under water .
345,so you just go back to that whenever your tank's almost out .
346,and the helicopter will come back .
347,damn .
348,yeah bro the craziest story I've ever heard .
349,my dad told me that when he was out there building the house because my dad was in Notre_Dame he it took him six years to graduate .
350,like the School_of_Architecture at Notre_Dame takes like four and a half to five years .
351,like it's a four year program .
352,uhuh .
353,but like if you don't like do summer and all that stuff like it usually takes people more than four years or whatever .
354,but it took my dad six years because he took a year off and moved to Roatan and built our house out there .
355,wow .
356,so he said that when he was out there bro it was like three or four o'clock one afternoon .
357,like they just got done working .
358,he just like grabbed a case of beer and went down to the dock and our dock .
359,remember I told you my uncle had that shrimping company ?
360,yeah .
361,my grandfather whatever .
362,yeah .
363,wow that's like a mile down .
364,like we own all that land all that side of the island .
365,my grandparents owned like the entirety of it .
366,like they've sold a lot of it now .
367,but we own like all of it so the thing's like a mile down .
368,and the water it's not like here the beach .
369,like it stays steady .
370,like it's a steady drop .
371,because it's like in a bay .
372,like the island's right here .
373,and there's a little island like a little island right here that used to be an air strip .
374,and then the coral reef is back here .
375,so the water goes deep really quick .
376,so the dock goes out like fifty feet because bro my grandfather used to have a fifty two foot yacht out there .
377,and the water is like a hundred feet deep at the end of the dock .
378,it's like a fifty foot dock .
379,so he said they were in there building the dock .
380,and they were done with like the first like twenty feet of the dock .
381,and he said that he saw a manta ray just like swimming bro .
382,he just saw it go under the dock like farther out and then come back .
383,and then he just said that he heard like a big bang .
384,and then he saw the dock like a piece of the dock fall into the water .
385,and he said that there was like a twelve foot hammerhead shark that was chasing the manta ray .
386,no way .
387,and he went underneath the docks .
388,and he broke the pilings there bro .
389,it was probably like thirty feet deep forty feet deep where he hit it .
390,and the pilings are big bro .
391,and he just said that he broke right through them .
392,and then they just kept going .
393,oh my god .
394,yeah bro .
395,that's insane man .
396,bro we're planning a trip to Honduras next summer .
397,we're definitely going out there for like a week .
398,well the only time I went diving was in a lake man .
399,no way how was that ?
400,it was crazy .
401,dark water ?
402,yeah man it was pretty scary .
403,it was kind of like the end of the winter so the water was still cold like it had been colder the days before .
404,so like I didn't even wear a wetsuit man .
405,and lake water is colder ...
406,it's cold yeah .
407,because it's like still water .
408,mhm .
409,so we went diving .
410,and it was like forty feet deep in the lake or a little bit more so ...
411,bro there's nasty stuff in lakes bro .
412,because there's something that falls in there .
413,yeah yeah .
414,a hundred years later it's still there .
415,no there was like a big statue like a Jesus statue down there .
416,no way how weird !
417,yeah it was weird .
418,that's creepy bro .
419,no there was like signs from the street .
420,I was scared I was gonna be bit by something man .
421,like the bottom of the the lake is not sand .
422,it's like this ...
423,like grass right ?
424,no it wasn't even grass man .
425,.
426,it was like a muck man .
427,nasty .
428,like when your hand hits it it will sink into the sand .
429,like mud .
430,yeah it was ...
431,nasty .
432,it was like nasty mud .
433,and there was like grass all over the place .
434,there was like a couple like bats swimming around .
435,it's a pretty big lake .
436,but it was so cold .
437,I wasn't wearing a wetsuit .
438,I got so cold that when I got out of the water my like extremities like my fingers tips ...
439,purple .
440,and my toes they got purple ...
441,no way .
442,and I was sitting on like the terrace .
443,and I started shaking .
444,who'd you go with ?
445,it was Barry and Alex .
446,oh yeah .
447,and I got out of the water .
448,and I was shaking like you know like your bottom jaw starts to shake crazy .
449,yeah .
450,and had to jump in a hot ass shower the next day .
451,no like right there I had to jump into a hot shower .
452,yeah yeah yeah .
453,and the next day I got the nastiest cold .
454,I was sick for like two weeks .
455,yeah bro because your body stays that cold for a while .
456,yeah yeah I was cold for a while man .
457,I thought I was gonna like get hypothermia or something .
458,yeah one time /.
459,I'm sure I was like at the beginning stages of hypothermia .
460,yeah for sure .
461,but that's what most people don't like a lot of people get that like hypothermia starts like early you know what I mean ?
462,yeah .
463,you can be in the first stages of it and not realize it .
464,oh yeah for sure .
465,one time we went to Dela which is like the north coast beach in Honduras .
466,mhm .
467,and we went to a Punta_Sal which is just like a little key that's off the coast or whatever .
468,and bro my eyes are really really sensitive .
469,like I can't like on bright days from here bro like I have to walk to class like this .
470,yeah .
471,my eyes just water and stuff I don't know why but we went and bro I got insolado like so bad really really bad like my eyes got so swollen ...
472,.
473,like my eyes were swollen shut like all I can see like if you walk in front of me I can see there's somebody walking in front of me but I couldn't like see anything I couldn't like tell who you were or nothing ...
474,.
475,I got the worst headache of my life like I don't think it was a migraine but it was the worst headache I've ever had in my life and I had to stay in bed and your whole body just feels hot bro you just feel hot the whole entire time for like a whole day bro .
476,you know how I went to one I went spear fishing and and I couldn't pop my ears man I don't know why I couldn't pop my ears and I went down to get there was hot snapper on on the floor ...
477,oh yeah .
478,we're spearing for hot snapper and I went down and my ears didn't pop and I just kept going and when I came up I got the nastiest headache .
479,oh yeah .
480,right there like .
481,how .
482,it must have been like twenty feet .
483,and my sinuses were on fire like I ...
484,burning .
485,no they weren't burning .
486,the pain was ridiculous .
487,I had to go on the boat .
488,and just close my eyes .
489,and I couldn't do anything else for the rest of that day .
490,the worst pain I ever got I haven't told you the story .
491,me and my cousin were messing around at my grandmother's house .
492,and it was her birthday .
493,and she was having like a huge event .
494,like the newspaper was coming and stuff .
495,like huge huge thing .
496,so like right before even starting like in the morning me and my cousin went there it's like ...
497,in Honduras like my grandmother's house like my aunt's house is inside the gates because she is the youngest one .
498,so my grandfather made her a house because she is the only one there .
499,like she came to school here but she moved back as soon as she graduated .
500,ahhah .
501,everybody else in my dad's family like when they came to school here they stayed here for at least a couple years .
502,so they made her a house over there .
503,and it's like my cousin's house my grandmother's house's stables and then my house .
504,so I was always at my grandmother's house with my cousin .
505,like after school you just get dropped off there .
506,and like just chill there all day .
507,so we spent the night there .
508,and like ten in the morning bro we were messing out in the backyard .
509,and I was like nine or ten and he was like twelve or thirteen .
510,and bro he starts pissing .
511,and like we were both pissing .
512,and then like in the back of my grandmother's house .
513,and bro he's going and then he pees on me bro .
514,no .
515,.
516,.
517,and it's like on a hill so like there is a street there was sticking out that way so like I jumped up on the tree like that .
518,and like I started going like that like I stumbled on my foot ...
519,oh .
520,there was a beehive ...
521,a beehive !
522,I couldn't the bar bro .
523,I had to tie them and I went to hospital they said I had over sixty bees stings like they bite .
524,no way .
525,"the doctor goes ""/."
526,thank god you're not allergic .
527,if you're allergic you would've been dead in like two minutes .
528,holy shit .
529,bro so I feel it in my leg first my right leg .
530,and I jumped off the tree bro and I just it I just started running .
531,.
532,because I'm getting attacked by bees .
533,and I listen ...
534,they follow you man they're fast .
535,yeah .
536,bro I was just running .
537,and bro say I got attacked right here I didn't even start feeling the bees until I got until like the bro .
538,and I get inside and like at first I was so like following and stuff that like it didn't really even hurt .
539,you didn't feel it yeah .
540,I felt swollen you know like someone .
541,yeah yeah yeah .
542,when a part of your body is swollen you can feel your heart beating .
543,no yeah yeah .
544,.
545,I felt like that all over my body ...
546,.
547,like my head my chest my arms my feet my toes everything I'm just feeling my pulse .
548,and I get in there .
549,and so when we're finally starting to get to the house I walk inside .
550,and I to the kitchen and my grandmother is there .
551,and my cousin is like Brandon was attacked by bees .
552,and bro I was bad like I was crying ...
553,.
554,I was like starting to shake at this point .
555,and she just looks at me and she goes esto es lo único que me faltaba de mi cumpleaños like one hour .
556,oh yeah .
557,after she said no no no .
558,and bro she like came out of the kitchen .
559,and like they didn't even like deal with me .
560,and I was just like I'm too busy for this whatever .
561,oh my god man .
562,bro we go upstairs like to the room upstairs and I just jumped .
563,and he called my mom .
564,and bro at this point like bro the most ridiculous pain in my life .
565,like I couldn't even handle it .
566,I was just there with my eyes closed crying like just crying crying crying bro .
567,It was horrible .
568,I was almost like I will put them in a cold shower .
569,because like it makes the swelling go down .
570,yeah .
571,the come out .
572,and the and bro she gets there .
573,and she came over like a little bottle of .
574,"because I guess when my cousin told her , she didn't even think it was that bad ."
575,and bro she just looks at me .
576,she's like oh you gotta go to the hospital so she called the ER .
577,and it was like bro I came right in .
578,they took me in and they put me to sleep like as soon as I got there .
579,they were like oh my god this is bad .
580,the doctor looked at me .
581,and he's been my doctor like my whole life .
582,and he's like cuánto te duele ?
583,and bro I couldn't even see I was crying .
584,and so they put me to sleep .
585,and the last thing I remember bro there's a syringe like the needle wasn't that big but the syringe bro was like that fat .
586,and they just pumped it and like I felt it going in and it felt really cold .
587,and then like ...
588,you're just knocked out .
589,I felt it's up here and then like I felt asleep .
590,yeah .
591,bro but that pain it was ridiculous like just I threw up in pain in my entire body .
592,did you still have the stingers in when you went in ?
593,yeah I still had some of them .
594,the doctor said all of them wouldn't even come out till the next day .
595,no way .
596,he was like do you wanna pull each one out like do it .
597,but he was like we gave you something for the swelling so when the swelling will be gone by tomorrow and they'll just pop out on their own .
598,wow .
599,I woke up and I had the worst headache ever and then like I just bro .
600,your all the medicine .
601,yeah .
602,and oh my god it was horrible bro .
603,and I had like ten in my head .
604,and that ...
605,ten ?
606,yeah that's where I could feel the pain the worst .
607,wow .
608,it was horrible .
609,yeah man .
610,what time ?
611,soon you're like it .
612,.
613,oh I forgot to tell you the funniest thing happened .
614,remember ?
615,yeah .
616,the one that we met .
617,he went diving one time with a hose like you know they have the pump on the top .
618,yeah .
619,yeah .
620,and then you have another hose that you can use it like for lobstering .
621,yeah .
622,and he was using it one time and he got a bubble .
623,in the hose ?
624,in a ...
625,or in his chest ?
626,in his chest .
627,no way .
628,it was like something in his lung or something in his lung hey when he called the pharmacy asking my mum she's like oh chief you know what I do .
629,and bro when he was talking he sounded like he had a pinched nose was talking like that .
630,.
631,yeah yeah yeah .
632,and my boss said oh vete para el vete para el hospital estas loco like ...
633,that was dangerous .
634,yeah you could die and he went to the hospital and I think they said he had like a nitrogen mower or something built up in his lung something like that .
635,.
636,bro that can't be healthy .
637,he could've died if one of those bowls goes to your brain you're dead .
638,done for it .
639,bro she has to do with her lungs but she told me how she was going to the club one day with some of her friends .
640,and they were in Honduras .
641,and like they got in a car accident .
642,and she had just gotten out of the car .
643,and they went to like across the street to the gas station to to get cigarettes or something .
644,and they came back like they got in a bad accident or something .
645,and like the car had flipped or whatever .
646,but everybody there was fine like the girl that was in the passenger seat like went to the hospital and she broke her arm or whatever .
647,and the dude that was driving was like no no I feel fine like my mother //.
648,and his mom was a doctor or whatever .
649,so he was like I'm just gonna go home and gonna have my mom look at it .
650,and he went home .
651,and he died in his driveway bro in his car .
652,yeah .
653,his lungs ...
654,the seatbelt .
655,yeah one of his ribs broke and punctured his lung .
656,his lung yeah .
657,and he choke on his blood like horrible way to die .
658,yeah that's how I remember it man I told you man when you got that eye symptom to get checked out because that shit can happen .
659,yeah definitely .
660,you can not even notice that you're like injured profusely inside .
661,yeah bro the next day I woke up and my back was killing me bro my back hurt so bad .
662,no not even that you could have internal bleeding somewhere and not even know it .
663,yeah .
664,bro that scared that bro that was scaring me straight though like I haven't even thought about it for so long .
665,.
666,yeah man .
667,it was probably the worst thing that's happened to me in a year .
668,bro I can't one year eating on my street ...
669,.
670,yeah I figure .
671,yeah bro .
672,that he was going to be looking like at your surroundings when you're driving .
673,yeah .
674,and try not to pay attention to other things because you only have like that one little second ...
675,a split second man .
676,to react and if you don't yeah you're done .
677,you're done bro .
678,that's so crazy man .
679,that happened to my dad when he was fifteen he got hit by an eighteen wheeler he was crossing the street and the driver didn't see him and he nailed him he was in a coma for like a long time .
680,.
681,the doctor said that he wasn't gonna make it that he was gonna die .
682,damn .
683,like if you look like at his eyebrow .
684,how fast was in the eighteen wheeler ?
685,I don't know but you know way ...
686,mile an hour .
687,yeah it was an eighteen wheeler man do you know how much weight that thing has behind it ?
688,.
689,yeah .
690,yeah bro it's how hard it is .
691,and so yeah he was in a coma for a long time .
692,and the doctors said my grandma would say oh you know what can you do for him dies like ah it's in god's hands now .
693,yeah for real .
694,there's nothing we can do .
695,it's horrible huh .
696,because imagine when you get a brain trauma like that your brain swells you get swelling in your brain if you know what I 0mean .
697,yeah .
698,oh my god .
699,I was watching Family_Guy .
700,and you've ever seen one when Richie learns how to ride a bike and then the bullies steals his bike or whatever ?
701,I don't remember that one .
702,what's his name is oh my god I bro .
703,Robert .
704,yeah Robert and he's filming Richie right on the bike .
705,and then bro like a bag around and he's like ...
706,he starts smiling like in American_Beauty .
707,.
708,yeah yeah he says oh my god it's so beautiful .
709,or a beautiful life was it ?
710,yeah I don't know .
711,I think it's a beautiful mind .
712,one yeah a beautiful mind .
713,bro and you know how in Family_Guy some stuff runs on forever for like forty five seconds is like filming the bag .
714,yeah .
715,and he's like oh it's so beautiful .
716,and then they like show a clip of god upstairs .
717,and he's like that's not beautiful you should take a look at your circulatory system .
718,oh god .
719,I wanna take an anatomy class .
720,anatomy's hard man .
721,.
722,it's a lot harder than everybody thinks it is .
723,yeah .
