,sentence
179,you know you're gonna see what happens in the chapter nine .
180,that then you're gonna say what the fuck happened here .
181,wow .
182,I dunno bro .
183,I used to come to this movie theater so much .
184,huh ?
185,is this the movies you come to ?
186,no the Dolphin I go to the Dolphin .
187,because this one close like earlier .
188,yeah it close earlier //.
189,it open /.
190,that one is shorter ?
191,shorter yeah .
192,yeah I want //.
193,actually I saw /.
194,that's the one I wanna see .
195,I saw the yesterday .
196,mhm .
197,oh it's awesome bro .
198,yeah I wanna see it .
199,it looks like he works .
200,this guy I remember the face .
201,but it looks like one Spanish guy working on the movie .
202,you know who's in that movie ?
203,Ando you know Ando ?
204,oh yeah .
205,Ando from Heroes .
206,I thought that was a Spanish guy but it was Ando the one that I saw .
207,yeah .
208,I saw it but it //.
209,you know like el perfil ?
210,yeah .
211,"y dije ""/."
212,that's Ando !
213,.
214,but they didn't put it again so you know I was like that isn't Ando then .
215,yeah .
216,él es modelo creo .
217,really ?
218,yeah .
219,go to go to Wikipedia la enciclopedia online .
220,yeah Wikipedia .
221,y pon el profile there .
222,sale él sale Micah .
223,Micah ?
224,el chamaquito .
225,oh yeah yeah .
226,sale DL .
227,sale //.
228,quién más sale ?
229,sale Nathan .
230,Nathan ?
231,Nathan Per //.
232,yeah Nathan Petrelli .
233,sale Peter también .
234,sale el tipo este el hindú .
235,they're all models ?
236,no .
237,oh .
238,that guy Ando .
239,eh el hindú no me acuerdo qué era es él es from Chicago .
240,Suresh ?
241,Suresh yeah .
242,Mohinder .
243,and you're gonna see what happened with Suresh too .
244,yeah you're gonna say that it can't happen I don't know how he's changed you know .
245,damn .
246,what point he's changed ?
247,the cheerleader pisses me off bro .
248,yeah .
249,she pisses me off .
250,siempre está en los mismos esa .
251,yeah everything is the same I wanna help people I wanna help people I wanna help people whee get out .
252,yeah exactly .
253,I don't wanna .
254,yeah .
255,yeah .
256,and you saw her boyfriend ?
257,yeah he's pissing me off even more !
258,.
259,stupid Superman guy .
260,thinks he's Superman and shit .
261,yeah I can fly you can heal I can fly you can heal that's it .
262,yeah .
263,bro the only the interesting part that they do was when this girl the cheerleader this girl ?
264,oh yeah yeah .
265,you saw that part .
266,que él la deja caer y ella se cae y .
267,did you see that part ?
268,oh when they were on the mountain ?
269,wait what part was that ?
270,no no no no hay una parte que la pesada la cheerleader pesada está tomando ...
271,you didn't see that part ?
272,well is that episode six or seven ?
273,I don't really remember .
274,six seven or eight ?
275,because I haven't seen six I'm gonna see six today .
276,hay una parte que ella está tomando .
277,y ellos quieren como asustarla como algo un escarmiento .
278,y entonces ellos planean algo .
279,y él se pone una máscara .
280,y él la sube .
281,y la deja caer .
282,y espera parecer un fantasma a ella tú sabes como para asustarla .
283,oh I haven't seen it .
284,y ella le dice que él viene la policía .
285,y después viene Claire .
286,y Claire está normal .
287,y después viene el muchacho .
288,y como que parecer la como que ella está loca .
289,oh yeah yeah no I haven't seen it .
290,I'll see it .
291,that's the only part that you know like it's like funny .
292,yeah .
293,pero you_know en la primera parte enseña más .
294,yeah and Claire doesn't do anything .
295,she's just complaining all the time .
296,yeah en la primera parte enseña más /.
297,and she's always mad at her father .
298,yeah .
299,and her father's just trying to like protect her .
300,ajá .
301,and what pisses me off is she doesn't listen to him .
302,you know .
303,that's what happens the things in the chapter nine .
304,doesn't listen to him .
305,no .
306,and .
307,Hiro sees the who killed the father .
308,he sees ?
309,yeah .
310,does Hiro come back ?
311,I want him to leave the past already .
312,yeah me too /.
313,I want him to come back .
314,because he's it's everything on the that's what I'm telling everything in the same role .
315,yeah .
316,like Hiro's over he's over there on the sixty on the ...
317,fifteen forty or something ?
318,yeah something like that .
319,and they don't do anything .
320,with Kensei but he's coming back .
321,did he come back already ?
322,yeah on chapter eight he comes back .
323,at the end of the chapter eight I think yeah .
324,I like what's going on with Peter though .
325,ah ?
326,I well I'm interested in like the Peter story like what's going on with Peter .
327,because like he saw the picture .
328,he's like oh I gotta go .
329,and then the girl's father /.
330,got killed by the girl with the //.
331,yeah .
332,that girl's hot by the way .
333,on this season yeah the only one that I wanna know is you know .
334,that season it was Hiro the one that I want /.
335,yeah .
336,to be like you know like I want /.
337,you want .
338,to be seeing .
339,yeah .
340,because is the funny stuff the /.
341,yeah yeah .
342,pero en ésta no está haciendo nada .
343,nah .
344,so yeah it's what you're saying .
345,maybe next season or something .
346,Peter is the only one that you're interested about like .
347,yeah .
348,Peter and Nathan porque en las en la .
349,Nathan ?
350,en cuando ellos viran del pasado .
351,oh yeah .
352,cuando ellos te ponen la parte de four months ago .
353,oh no no no no no don't tell .
354,no no no no I'm just gonna tell you this .
355,all right then .
356,four months ago tú viste que Nathan se ve a veces con la cara quemada .
357,yeah .
358,es cuando ellos suben para arriba /.
359,oh .
360,él lo empieza a quemar .
361,y entonces después tú quieres saber cómo fue que se curó completo .
362,oh .
363,porque después está completo curado you_know .
364,yeah .
365,and they show you ?
366,yeah they show you /.
367,you know ?
368,what happens yeah .
369,oh my god .
370,on chapter nine .
371,but that's what /.
372,and then Nicky's in like the hospital .
373,the she's another stupid one siempre lo mismo .
374,Nicky's always with ...
375,yeah and the black guy too .
376,what black guy ?
377,the husband .
378,he's dead !
379,no .
380,DL's dead .
381,no you gotta see that part too .
382,oh really ?
383,he's dead but he isn't dead because Linderman .
384,he's dead because Linderman killed him .
385,no no he on later on on the chapter nine they gonna show you /.
386,oh my god .
387,who kills him .
388,he's dead but Linderman is is not the one that killed him .
389,they go to a hospital and lo curan you know lo like /.
390,oh and then someone kills him ?
391,later on happens something with Jessica that he goes where Jessica is /.
392,don't tell me anything .
393,and something happens .
394,you know who I like too ?
395,I look I like Peter Petrelli Hiro this season not so much but I like Hiro and I like the cop .
396,I don't like the cop .
397,I like the cop with Suresh taking care of the little girl trying to figure out like .
398,they put the cop and Suresh a lot but they don't do anything .
399,they just talk they just think .
400,well yeah don't you remember they went to go find the cop's father .
401,and the father like he's the one that like with the power .
402,yeah .
403,that he put them both fighting against each other .
404,ajá .
405,remember ?
406,yeah .
407,and they they didn't know .
408,he can put something on the head of the people .
409,yeah .
410,he can control the people .
411,but .
412,do you like the the Honduranean girl with the brother that are with Syler ?
413,kind of .
414,you like them ?
415,.
416,I like Syler .
417,yeah that guy is ...
418,I like Syler .
419,he's bad /.
420,that guy is awesome man .
421,you know but .
422,they haven't put Syler like later on .
423,they haven't put him /.
424,they haven't put him ?
425,on any other chapters .
426,really ?
427,no .
428,that's the thing about that I was telling you .
429,I heard with chapter eleven has a lot to do with Syler like /.
430,yeah .
431,he's in it a lot .
432,what I was telling you that they just put everything in one chapter .
433,on chapter nine is everything .
434,if you see like six seven and eight that's it .
435,you don't have to see the rest of the chapters because everything is like the same thing .
436,yeah .
437,you just gotta see six seven eight and nine .
438,that's it with those four chapters you gonna see everything what happened on the rest of the chapters .
439,oh really ?
440,yeah .
441,.
442,why because they show you the future again ?
443,because chapter nine's is everything in chapter nine's is what happened /.
444,four months before like after the explosion ?
445,yeah .
446,you know you gotta see like two or three chapters before chapter nine .
447,because you gotta see what happens with Peter .
448,how he gets there .
449,what happens with the girl that has got the flame everything .
450,yeah .
451,yeah .
452,we'll see .
453,hey have you heard about that raise that we're getting in August the dollar twenty ?
454,oh .
455,supposedly with a new contract that went through .
456,oh yeah but .
457,and like /.
458,yeah yeah I did .
459,we're getting a raise on the twentieth .
460,what time you got there ?
461,eleven thirty four .
462,I heard about it last year that they're gonna change company .
463,yeah I supposedly we're getting a dollar twenty raise in August .
464,we're gonna change ...
465,they gonna change union and stuff and they gonna raise twice a year .
466,I hope so .
467,yeah .
468,damn that'd be awesome .
469,do you like do you like Erik ?
470,sometimes .
471,para mí es un pesado a_lot .
472,sometimes .
473,most of the time pesado but sometimes he could be cool .
474,yeah .
475,but I dunno he gets a little pesado sometimes .
476,sometimes ay they still putting Jumper there .
477,yeah you didn't see it ?
478,no .
479,it's good .
480,yeah ?
481,which one is the other one that is the bottom ?
482,Step_Up_Two .
483,oh have you seen that one ?
484,you know which one's good ?
485,Vantage_Point .
486,oh yeah .
487,Vantage_Point yeah .
488,I saw the trailer oh awesome .
489,you see the movie in the point of views of everyone .
490,yeah .
491,they show you the movie in the point of view of the cop .
492,and then they go all the way back rewind .
493,show you everything that happened .
494,.
495,but in the point of view of a guy filming with a camera like it's awesome .
496,but everything is happen with the cameras .
497,or everything happen with the point of view of /.
498,point of view normal .
499,yeah but I saw /.
500,but there's different people .
501,yo vi que el ...
502,this guy had a camera like a like un periodista .
503,yeah .
504,tenía una cámara .
505,y le quitaron la cámara .
506,y lo chequeaban el video que cogieron /.
507,yeah yeah yeah .
508,but what you mean with the point of view of the cop ?
509,ellos te hacen que tú digas lo que pasó .
510,no no like they show the beginning of the movie and then the big explosion happens /.
511,ajá .
512,no the president gets shot /.
513,yeah .
514,and then a big explosion happens .
515,and then like they rewind .
516,and they like the security the bodyguard of the /.
517,the president ?
518,of the president .
519,they show like everything that happened from his point of view like what he was seeing .
520,and then from another person .
521,mhm .
522,you have to see it .
523,it's good it's good .
524,and then at the end they put you the point of view of /.
525,you saw it already ?
526,of the killer .
527,you saw it already ?
528,yeah .
529,oh don't tell me don't tell me I wanna see it .
530,no watch it .
531,you saw this one .
532,Ten_Thousand_B_C I wanna see .
533,you know what I don't like on that movie ?
534,hm .
535,they talk in English .
536,they talk English ?
537,at the point of that movie nobody can know any language .
538,are you sure ?
539,yeah ten thousand BC .
540,it's when the people live in caves and stuff like that .
541,they don't live in //.
542,they don't even live in caves .
543,you don't know .
544,maybe they talk English and some //.
545,maybe they did talk English !
546,no no I don't think so .
547,I don't think so because /.
548,you want it to be like Apocalypto /.
549,yeah .
550,that they talk another language and /.
551,yeah .
552,Apocalypto was good .
553,I like that movie .
554,awesome that movie was awesome .
555,Untraceable you saw it Untraceable already ?
556,.
557,oh I didn't see it man .
558,I missed it .
559,I think that they took it off ?
560,yeah they took it off .
561,it's coming out on d_v_d then .
562,I saw The_Bank_Job .
563,you saw it ?
564,it's good ?
565,The_Bank_Job's good yeah .
566,I wanna see it .
567,I liked .
568,I have seen the trailers .
569,and it's good .
570,what about Incredible_Hulk ?
571,you saw the trailer ?
572,yeah .
573,you saw it ?
574,what do you think good huh ?
575,but I don't like the guy on the movie I don't like him .
576,I like him .
577,I like him better than the other guy .
578,on that special movie I don't like him .
579,because that guy is too serious to be on that type of movie .
580,you think ?
581,but everyone loves Edward Norton .
582,I like it how he works .
583,yeah .
584,but he's all he's ...
585,pero es demasiado serio para esa película .
586,es como poner en esa película a Anthony Hopkins .
587,Anthony Hopkins ?
588,yeah !
589,you could do it !
590,nah son actores /.
591,look if you're a good actor you could do anything .
592,pero son muy serios para esas películas .
593,look at The_Rock .
594,The_Rock started doing action movies and now they're putting him /.
595,which one was The_Rock ?
596,el actor The_Rock ?
597,oh .
598,he does comedy //.
599,you know Vin Diesel ?
600,yeah .
601,he did a comedy .
602,yeah I know .
603,The_Pacifier .
604,no the only one that I don't like from him is the /.
605,that one that you said .
606,Strays I think it is the name of oh man .
607,Strays yeah .
608,it was like stupid stupid you saw it ?
609,watched that movie ?
610,what Strays ?
611,Strays .
612,you told me it wasn't good .
613,don't even look //.
614,and he they got like thousand movies on Blockbuster oye .
615,like the same movie .
616,ajá .
617,like thousands .
618,of what ?
619,of Strays yeah .
620,of that one ?
621,they got like a thousand just one wall for him .
622,yesterday I saw Elizabeth_The_Golden_Age .
623,I got it at home .
624,I saw it .
625,is it good ?
626,it's good .
627,but I wanna /.
628,did you see the first one ?
629,no .
630,no ?
631,I wanna see the first one .
632,oh damn .
633,but they don't got it in Spanish and my girl doesn't speak English .
634,you should see the first one .
635,I mean you don't have to see the first one to understand the second .
636,ajá .
637,but you know it's good to see the first one .
638,but it's good .
639,part two has like more action .
640,part one has no action .
641,yeah I know .
642,the part two has like some action towards the end .
643,but if you see part two before part one when you see part one I mean .
644,when you see part two before you see part one when you see part one you gonna know something that happen on part two that you don't wanna know ?
645,ah no not really .
646,no ?
647,no .
648,but see it .
649,you can see part two and seeing part one ?
650,yeah yeah .
651,and nothing's gonna happen like /.
652,it's just in part one they show you like how she becomes the queen .
653,you know in part two she's already the queen .
654,yeah .
655,but they don't have it on Spanish subtitles or anything like that .
656,are you sure they don't have Spanish ?
657,no they don't have it .
658,damn and you need subtitles because that movie is hard to understand .
659,but in part two in England they're going to war against Spain .
660,so every time they show Spain eh they're talking in Spanish .
661,on the first one ?
662,in the second one .
663,the second one ?
664,they talk a lot of Spanish in the second one .
665,I have seen like part of the movies .
666,because I wanna see like something what happen on you know like if it likes Perfume .
667,you saw Perfume right ?
668,yeah .
669,I wanna see .
670,si ellos se tienen como Perfume o si era como un tipo de comedy y eso .
671,yeah you know .
672,I think it's more older than Perfume .
673,like la época .
674,ah .
675,era más vieja que Perfume yeah .
676,yeah ?
677,vi la ese trabaja ese tipo de Shoot_Em_Up ?
678,yeah yeah yeah Shoot_Em_Up .
679,yeah that guy works there .
680,Clive Owen .
681,which one /?
682,have you seen Bad_Boys_Two ?
683,yeah .
684,you know the bad guy in part two ?
685,.
686,el que el cubano que tiene pelo largo .
687,oh yeah .
688,el malo .
689,el que dice que le va a dar un millón de pesos al que lo saque de la cárcel .
690,yeah yeah yeah .
691,el es el malo en The_Golden_Age .
692,oh yeah ?
693,el es rey de España el malo .
694,oh .
695,yeah .
696,el flaco .
697,yeah .
698,en esa no es en la que /.
699,that's why when the little girl's like daddy look at the dress .
700,and then he's like you're beautiful .
701,and his friend laughs .
702,and he's like .
703,no hagas caso él es un mamapinga .
704,.
705,huh .
706,en esa no es en la que el destruyen toda la flota a España ?
707,when what ?
708,que le destruyen toda la flota a España .
709,yeah .
710,es en esa ?
711,que creo que es la la destrucción más grande que ha tenido España desde la guerra .
712,esa no es la que queman la gente viva porque son católicos o algo de eso ?
713,yeah yeah that's it .
714,que /.
715,but they don't show it .
716,but yeah they talk about it .
717,yeah .
718,eh eh esa clase de películas me confunden .
719,pero like I watch them with my girlfriend and she explains .
720,yeah ?
721,what's going on yeah .
722,she knows about it ?
723,she's good with it .
724,I have seen es es un era un documental .
725,de lo que pasó en realidad con this guy el que adivina el futuro .
726,Nostradamus .
727,who ?
728,Nostradamus .
729,Nostradamus .
730,that ese documental estaba duro duro .
731,Elizabeth goes to him to find out like what's gonna happen in the future .
732,the what ?
733,Elizabeth .
734,ajá .
735,ella va a Nostradamus .
736,oh sí ?
737,no sé si es Nostradamus pero un profeta .
738,ajá .
739,para que le diga lo que va a pasar en el futuro .
740,oh .
741,él le dice a un rey lo que le va a pasar .
742,y en realidad le pasa algo al rey .
743,y entonces es cuando la gente se pone .
744,yeah .
