,sentence
138,y de dónde voy a sacar comida ?
139,ah porque no hay nada allá arriba .
140,allí .
141,sí eso fue lo que hice esta mañana para llevarte almuerzo .
142,so why'd I make more than last time ?
143,how many hours did you work last time ?
144,same .
145,no you couldn't have possibly made the same .
146,no ?
147,why not ?
148,eighty hours you worked last week ?
149,yeah .
150,ah no Jack I don't think so .
151,okay .
152,sixty eight .
153,that's it .
154,.
155,that's your difference right there .
156,sixty eight .
157,no .
158,how many hours ?
159,seventy six .
160,that's right .
161,no that's right .
162,because you're only looking at about twenty four bucks difference .
163,no a little bit more .
164,it was seven what ?
165,seven something .
166,seven ...
167,looks .
168,hold on .
169,if you're looking at twelve times ...
170,eighty ?
171,eighty .
172,.
173,so you had like forty four hours .
174,more that's it .
175,you had four hours more .
176,ah okay .
177,four times twelve .
178,four .
179,four time twelve !
180,four time doce .
181,so you're looking ...
182,veinticuatro .
183,cuarenta y ocho .
184,ya está huy !
185,dónde está la calculadora ?
186,no ya así .
187,entonces esa es la esa está bien .
188,porque esa es la diferencia .
189,esto ?
190,para ir mañana tú vas a llevarlo /.
191,sí por favor .
192,fírmalo ahí .
193,yo tengo un lápiz no ese lápiz no sirve /.
194,ven acá .
195,terminaron de emplear a alguien para que hicieran el ...
196,a nadie han cogido .
197,ay papi .
198,habla a ver si ...
199,.
200,bueno yo sé que tienen un montón de aplicaciones .
201,pero dile a Lorenzo que que que vea a ver la de Elena .
202,pobrecita .
203,oh al del marido de Elena le están pagando siete dólares la hora .
204,y él sabe cambiar un bombillo .
205,faltan tres gente faltan faltan tres gente y no han cogido a nadie .
206,y que están tratando de ahorrar para este fin de semana ?
207,yo no sé lo que están tratando de hacer .
208,yo sé que están haciendo algo extraño ahí .
209,que nadie quiere le gusta .
210,quién está haciéndolo la oficina o Lorenzo ?
211,la oficina Karen .
212,o la oficina .
213,es porque las tienen así de apretadas .
214,con cómo se llama ?
215,con el payroll .
216,no espérate .
217,la mujer de ayer .
218,.
219,te acuerdas que te dije que vino .
220,pero de lo más alborotada .
221,ayer a las siete .
222,diciéndole que el sales office le había dicho que cruzara la calle que nosotros íbamos a hacer el orientation .
223,so when she got there .
224,"she says ""/."
225,you know I'm here to do my orientation .
226,"I said ""/."
227,well I'm sorry but the office is closed .
228,we close at seven .
229,well Clare said ...
230,so call her right now .
231,"I said ""/."
232,you know Clare doesn't do orientations .
233,but I can call my office right now .
234,so I picked up the phone .
235,and Magdalena .
236,"I said ""/."
237,Magdalena I have someone she's finished closing .
238,and they told her to cross the street and that you would do an orientation .
239,"Magdalena says ""/."
240,no I'm closed .
241,I can't do an orientation .
242,I was told not to do any overtime .
243,so I proceeded to hang up the phone .
244,"and I said ""/."
245,I'm so sorry .
246,but the office is closed .
247,there's not much I can do .
248,and she just got all wired up .
249,"and she's like ""/."
250,call Clare call Clare !
251,and as she does this her boyfriend sees how or her friend I don't know if boyfriend or friend ...
252,did you call Clare ?
253,no !
254,what for ?
255,she was calling her on her cellphone .
256,oh .
257,and you know I picked up the phone .
258,I gave her the number .
259,and she's verified the number that she had .
260,"and I said ""/."
261,yeah that's the number .
262,so I hang up my phone and let her call her .
263,"her boyfriend said ""/."
264,well let's just go across the street .
265,so they went across the street .
266,and got Clare .
267,well Clare was Clare .
268,walks all you know huffing and puffing .
269,yeah camina así .
270,sí .
271,.
272,.
273,sí se parece un patito volando !
274,pero bueno .
275,tiene las patas largas .
276,sí sí .
277,pero no .
278,entonces ella ...
279,al principio cuando ella entró me dice /.
280,we need to go and pick up the bicycle .
281,which one ?
282,the one en casa de ...
283,oh okay .
284,Jacob ...
285,hey wait a second .
286,let me finish my story .
287,yeah what ?
288,because I haven't told you what happened .
289,okay so this whole story right .
290,and then this morning she came .
291,again ?
292,well yeah because we didn't do the orientation yesterday .
293,mhm .
294,and she made a complaint against me !
295,so Karen calls me .
296,"and she says ""/."
297,I have a resident who just made a complaint about you .
298,"and I said ""/."
299,well Karen that's why I came into the office this morning at ten thirty to tell you I needed to speak to you .
300,"she's like ""/."
301,oh is it on the report ?
302,"I said ""/."
303,it sure is .
304,it's on the report today and yesterday .
305,"she says ""/."
306,well we need to extend more courtesy .
307,"I said ""/."
308,hold on one second .
309,did you see how excited she is ?
310,did you know how upset she was yesterday ?
311,because they kept her four hours just sitting there waiting for Clare .
312,"she's like ""/."
313,oh you're right .
314,okay well ...
315,"she's like ""/."
316,okay yeah I think okay you did fine .
317,and that was it .
318,but yeah Karen was at first you know just dumping it on me .
319,and I was like this woman ...
320,I wasn't gonna stay .
321,and yeah /.
322,I don't do orientation .
323,I was like /.
324,and right in the front desk ?
325,where you're sitting is Karen's telephone number ?
326,yeah but no .
327,it wasn't my place to call Karen .
328,it would already /.
329,no you don't have to call nobody .
330,you just give the card to her .
331,no no I did .
332,I gave her the office card .
333,and she didn't want it .
334,she wanted Clare .
335,so she went and got Clare .
336,end of story .
337,but then this morning she was complaining about me .
338,"and I was like ""/."
339,why was she complaining about me ?
340,it's not my office .
341,I don't do orientation .
342,"she's like ""/."
343,well I guess because you didn't call Clare .
344,"and I was like ""/."
345,why do I have to call Clare ?
346,she had her on the cellphone .
347,so anyways that was what happened today .
348,so I was a little annoyed .
349,"but then I was like ""/."
350,ah I'll get over it .
351,what's the worst thing that can happen to me ?
352,I'll just walk across the street .
353,and ask the engineer there if they can give me a job .
354,actually if they offer me twelve thirteen I will walk across the street .
355,yeah it's the same ...
356,same shit .
357,same tren ?
358,same shit different .
359,that's true it's the same train !
360,I can just hop on and hop off at the same time .
361,on Friday I have to go with you /.
362,where ?
363,at seven .
364,you have to go with me at seven ?
365,at seven into work .
366,why ?
367,because I'm covering for Claudio .
368,ah .
369,estaba de lo más emocionado .
370,estaba feliz feliz .
371,dice que eh le dieron ese internship .
372,el qué ?
373,el internship .
374,uhhuh .
375,está como un intern .
376,no le pagan .
377,pero le dejan estar ahí en el estudio .
378,dice él que que no you know él nunca ha hecho nada así .
379,pero que tiene que entrar ver si todo está limpio que si algo falta que si esto aquello que llame que él verifique .
380,le ponen una secretaria .
381,pero él está en el estudio que es donde él quiere estar .
382,bueno por lo menos va a hacer algo que le guste .
383,sí .
384,y a ver qué sale de ahí después .
385,yo no sabía que él estaba viviendo con su mamá .
386,sí ?
387,por eso es que está fajado con el padrastro .
388,pues si el padrastro es la misma edad de él .
389,cómo no va a estar fajado con ella ?
390,no .
391,es el espacio y la tensión .
392,de quién del marido o del hijo ?
393,de la mamá !
394,pero papi eso es ...
395,y aún .
396,son dos relaciones diferentes !
397,bueno él está molesto porque la mamá le está prestando atención no es la misma atención cuando estaba sola que ahora cuando él ...
398,.
399,claro .
400,pero por eso es que está molesto .
401,ah por eso se ...
402,ven acá chico pero y esto creo que va a seguir .
403,es por que la luz .
404,está bright .
405,we can move over there if you want .
406,no .
407,you wanna move to the sofa ?
408,no .
409,okay .
410,"oh well so the only reason I kind of figured it out was because she said ""/."
411,oh yeah Claudio cooked .
412,"I'm like ""/."
413,how can Claudio cook ?
414,Claudio went home .
415,"and I'm thinking ""/."
416,oh Claudio went home .
417,home home .
418,mommy's house .
419,so anyways .
420,ah Jack I need you to call the people for the title .
421,sí what is it for ?
422,.
423,I don't know the phone number .
424,you need to tell them you paid ten dollars for them to do a title search .
425,yeah .
426,the lady says we'll call you don't call us .
427,she could've just put those ten dollars in her pocket .
428,.
429,she gave me a receipt though .
430,I don't know where's the receipt right now .
431,okay ah I'm so glad she gave you a receipt .
432,in that receipt's surely there is a telephone number ?
433,maybe .
434,well could you find it please ?
435,I'll find it yeah .
436,I need to know what the hell is going on with that .
437,.
438,did I show you how much I got paid ?
439,I didn't get paid as much as you !
440,but I think this is four hours short .
441,so last week you were four hours short .
442,this week I'm four hours short .
443,because remember that day of training ?
444,they only paid me for four hours .
445,so that's gonna be eight .
446,but it doesn't matter because that's what they pay .
447,this is what counts .
448,this is the number that we got to look at .
449,seven eight nine .
450,pones un cien aquí y aquí y son son iguales .
451,you think ?
452,siete y siete catorce .
453,y después lo sumas esto para acá atrás y este acá atrás .
454,alright .
455,entonces le pongo aquí la cantidad entera ?
456,ninety five .
457,and then here it is four four .
458,and seven six .
459,that would be nine .
460,qué es esto ?
461,qué número es esto ?
462,that's a two !
463,oh .
464,so five and four .
465,esos números que tú estás haciendo no se entienden .
466,.
467,and four is nine carry the one .
468,no no don't carry nothing .
469,nine and four thirteen and that's four .
470,because it's five five and four is nine !
471,oh my god .
472,why you have to carry something ?
473,because I don't carry you carry .
474,ah ?
475,okay nine that's thirteen carry the one six seven eight nine .
476,and that would be eight .
477,and that would be ...
478,ocho pones ...
479,fourteen .
480,uhhuh .
481,okay so that's what we have right now .
482,and upstairs I have about that much .
483,and then there's another envelope with that .
484,that would be nine .
485,that's still eight .
486,esto cuentas esto aquí no más y ya .
487,cuatro .
488,cinco seis siete ocho nueve .
489,siete nueve .
490,okay so that's what I have right now .
491,.
492,what !
493,que te cuesta trabajo .
494,busca la facilidad .
495,I know but I'm always getting used to /.
496,ah pero tienes que buscarla .
497,just counting one two three four .
498,I don't know .
499,I'm slow with that .
500,este grande no lo haces //.
501,estos tres que están aquí no hacen uno grandote .
502,entonces tú pones el uno ahí .
503,cuentas esto cuatro .
504,how do I know without actually counting that ?
505,makes no sense .
506,okay so anyways .
507,I'm sure this can be rounded off but ...
508,round it off to cuánto to nueve ?
509,in I can round it off to two .
510,just two period .
511,no ah para abajo mejor no para arriba .
512,acomódate tú .
513,okay forget that .
514,I don't have to do that .
515,okay listen .
516,this is what I need right now .
517,this is right .
518,this is insurance .
519,and this is car payment .
520,that would be four and eleven right ?
521,uhhuh .
522,don't laugh at me weirdo .
523,now I still have no idea what the registration to your vehicle is .
524,.
525,salud .
526,you're so pigish .
527,okay so ...
528,rent insurance car .
529,.
530,.
531,so I still have /.
532,oh tengo hambre .
533,I know just give me a few minutes .
534,me hace falta comerme algo hoy rico .
535,como qué ?
536,si se puede .
537,sí .
538,sí se puede .
539,hoy con cash .
540,si no es cash no .
541,ah estamos jodidos .
542,por qué ?
543,hace falta tu trabajo entonces .
544,.
545,para comer .
546,that's only because you want to eat at a restaurant .
547,if I have to cook it's not so much .
548,no it didn't have to be in the restaurant .
549,what do you wanna do ?
550,I'm talking about something that I like to eat .
551,what would you like to eat ?
552,I don't care where we eat .
553,como si es en la esquina ahí en un carrito de esos .
554,pero algo que me ...
555,are you gonna find something en el carrito ?
556,no pero te digo .
557,no tiene que ser un restaurant .
558,tú fuiste la que hablaste del restaurant .
559,I not talking about restaurant .
560,that's because that's the first thing that comes to my mind every time somebody says something to eat I ...
561,yeah but I .
562,I'm not talking about restaurant .
563,I'm talking about something that I like to eat .
564,don't have to be restaurant .
565,okay .
566,qué querías comer ?
567,yo quiero comerme un hotdog .
568,ew .
569,I'm not going with you .
570,where you going ?
571,I don't like to eat hotdogs .
572,why not ?
573,oh no hasta my stomach was se puso así .
574,yo me comí un hotdog hoy .
575,de dónde ?
576,así largo sí .
577,de dónde ?
578,cuando así del carrito ese que viene ahí .
579,el carrito tiene hotdogs ?
580,uhhuh .
581,.
582,sí ?
583,sí el carrito ese de comida trae hotdog .
584,ven acá .
585,y cómo es que tú te comiste un hotdog si yo te traje almuerzo hoy ?
586,no pero eso fue a las diez de la mañana .
587,no a la hora de comida no .
588,.
589,y era no era hotdog .
590,qué era una salchicha ?
591,parece una salchicha sí era un pito largo así .
592,.
593,me costó uno veinticinco .
594,wow .
595,oye sabes qué tengo que decirle al valet que los hotdogs del carrito están más baratos y mejor seguro /.
596,que el hotdog del Seven_Eleven que ellos van y compran .
597,uhhuh pero por la mitad the hotdog is one dollar ?
598,y el pan is twenty five cents .
599,y entonces tú coges .
600,luego tú el pan .
601,uhhuh .
602,y coges las cucharas que están ahí .
603,y buscas la salsita que más te guste .
604,de toda la comida que te dan allí .
605,hm .
606,o la salsita .
607,y por eso también te cobran ?
608,por la salsa no .
609,sí .
610,.
611,si te cobran por el hotdog //.
612,quiere decir que yo no tengo que comer pan cuando yo como hotdog ?
613,no .
614,mira que bien .
615,a mí no me gusta el pan cuando hotdog .
616,sí pero es ...
617,me lo pones en un plato y ya /.
618,en la esa no era para comerse nada más que el hotdog .
619,y yo me lo como .
620,okay .
621,entonces tú coges las salsitas que están allí .
622,hay carne hay toda una partida de cosas .
623,tú .
624,hay carne en el salsita ?
625,sí porque la salsa es de la carne .
626,like chili ?
627,salsa de los bisteces que traen la salsa la grasita con el bistec .
628,o de la otro .
629,o si no coges un poco de frijoles nada .
630,tú sabes entre salsita y salsita se va un pedacito de carne también .
631,y entonces coges el bicho .
632,y lo pones .
633,y lo cierras .
634,"y vas para donde el tipo y le dice ""."
635,dime cuánto es ?
636,uno veinticinco .
637,okay .
638,esto Pablito me estaba diciendo que a ella le gustaba .
639,porque te podías poner lo que ...
640,el plato de ella le costó dos dólares cincuenta centavos .
641,no y tú te echas lo que te da la gana .
642,eso es lo que ella dijo también .
643,ella dice no .
644,ahí .
645,.
646,.
647,ay dios mío .
648,entonces tengo esta cantidad .
649,lo que por ejemplo hay una ...
650,esa es mi cantidad para poner registración comida y lo demás .
651,ya ves ?
652,la comida se van cien pesos .
653,que qué ?
654,cien pesos dónde ?
655,el refrigerador .
656,ese refrigerador no se llena con cien pesos .
657,con menos ?
658,más .
659,pero no hay que llenarlo tampoco .
660,no es una misión llenarlo .
661,okay está bien .
662,oh ah .
663,pero ahora ponte a pensar .
664,no lo lleno .
665,okay está bien .
666,tú has visto el refrigerador ahora ?
667,qué tiene ?
668,nada .
669,no tiene nada ?
670,dos huevos creo que hay .
671,hay que comprar huevos entonces .
672,ya .
673,hay que comprar huevos !
674,.
675,pero es lo que te digo que ...
676,hemos estado apretando you know aquí apretando allá .
677,te dije me van a durar dos paychecks más dos pagos .
678,van a estar aproximadamente aquí .
679,.
680,este es el veintiocho tres veintiocho .
681,la primera renta se paga este mes //.
682,éste es éste .
683,y después aquí .
684,esa es la primera renta .
685,ahí es donde vamos a saber cómo estamos financially .
686,ya .
687,desde este momento al segundo que viene siendo veintiocho probablemente como el trece .
688,déjame ver .
689,alright .
690,si me pagan el veintiocho entonces el próximo míralo aquí viene siendo el once .
691,y me gustaría estar adelantada un poquito .
692,entonces siete y siete son catorce verdad ?
693,.
694,yup .
695,entonces son mil cuatrocientos lo cual me quedan doscientos veinticinco como crédito .
696,te acuerdas que ayer estábamos hablando de que si podemos ...
697,si puedo yo aunque sea quedarme sin pagar renta un mes por adelantarme así para que cuando los niños vengan yo puedo pagar para llevarlos a Disneyworld un ratito .
698,a Disneyworld un ratico ?
699,sí .
700,what does that mean ?
701,no pero solamente por un día o dos días .
702,por un día no ?
703,no tengo que quedarme una noche con ellos .
704,imagínate tú tener que manejar cinco horas .
705,ah sales el viernes y llega el domingo .
706,salimos el viernes todos .
707,no quieres ir ?
708,sí si no hay nada que hacer .
709,y vamos a salir con la niña y después con el niño .
710,no entiendo eso .
711,vamos a ir a Disneyworld .
712,when the baby and later when the boy ?
713,sí porque ella no viene al mismo tiempo .
714,ah so we have to go two times ?
715,well yeah it'll be fun .
716,she's thirteen fourteen .
717,she's not going to like the same things that he likes .
718,he's seventeen oh almost seventeen .
719,that's gonna be a real challenge .
720,why ?
721,look .
722,they start in June twenty fifth .
723,say that I bring her the first week .
724,it doesn't matter .
725,if I bring her or him the first week hasta August .
726,tengo junio julio y agosto si lo separo .
727,esto es una semana .
728,y una semana no importa en qué mes julio o agosto para el niño .
729,creo que el niño se va a querer quedar más .
730,for how long she coming ?
731,she only comes for one week .
732,that's what she told me .
733,and for do you think that he is gonna be here longer than her ?
734,he's gonna want to stay longer .
735,like two weeks ?
736,like three months .
737,like three months ?
738,oh my .
739,.
740,I don't know .
741,he was talking about some stuff .
742,some stuff ?
743,what kind of stuff ?
744,stuff ?
745,no they have his dad is just ...
746,mean ?
747,yeah .
748,le escribió .
749,quién le escribió a quién ?
750,una carta al niño Rupert .
751,Rupert escribió una carta al niño .
752,.
753,y qué dice en la carta ?
754,suena muy frustrado de que si tú vives en mi casa gratis tú no estás haciendo estas cosas limpiar su cuarto hacer esto hacer aquello .
755,"entonces me dice ""/."
756,mami yo no estoy aquí gratis .
757,yo trabajo .
758,y el dinero que se agarra en esta casa .
759,yo hago //.
760,ya el niño sabe .
761,"dice él ""/."
762,yo hago más ?
763,y traigo .
764,y mira como él me dice a mí que cómo es que vivo aquí en esta casa gratis ?
765,"después me dice ""/."
766,porque tú tienes teléfono .
767,y entonces tú te lo pasas en .
768,"y me dice ""/."
769,yo pago mi teléfono .
770,el niño .
771,"entonces me dice ""/."
772,mami es que yo trato de ser positivo .
773,y de no hacerle caso a mi papá .
774,pero él dice cosas que es you know que me frustran .
775,dice él .
776,y yo no sé qué decir .
777,"y le digo ""/."
778,no le digas nada papá .
779,tú eres menor de edad todavía .
780,ahora .
781,no .
782,y aunque sea mayor de edad él no puede decirle nada a su papá .
783,I know yo creo que él entiende esa parte .
784,pero es de esos de que él se siente como que lo está .
785,he is letting him down his father .
786,he is letting his father down .
787,I think that's what frustrates him the most .
788,so when I tell him .
789,.
790,just come and live with me .
791,the problem .
792,is like .
793,"he says ""."
794,then my father is just gonna say I'm running away from my problem .
795,which is true what he is gonna say .
796,but .
797,oh well let him to decide .
798,the moment's gonna come anyway .
799,maybe he /.
800,the moment is gonna come .
801,but it's gonna be ugly .
802,ah well .
803,el niño no va a querer hablar con padre .
804,él no va a querer saber del padre .
805,the problem that's not the problem .
806,the problem is that the father is trying to do the same that he do when he was the baby's age .
807,no .
808,no Rupert never has wanted mucho así tampoco .
809,no creo .
810,so a qué edad Rupert salió de la casa ?
811,no sé .
812,Rupert salió de la casa a las trece .
813,a los trece ?
814,trece años .
815,ah no ya entonces ya más está atrasado ya .
816,Paco viene trabajando para su padre por desde que tenía trece .
817,ah bueno .
818,sí esa fue una de las primeras excusas que él usó cuando él mandó al niño a trabajar .
819,mhm .
820,"le digo ""/."
821,no deja al niño en paz .
822,"me dice ""/."
823,no si yo trabajaba a los trece .
824,mira el muchacho que tan grande está .
825,ajá exactamente eso es lo que va a hacer el niño .
826,ay papi pero es que yo no quiero que él sea ...
827,y yo siempre se lo digo .
828,no es problema de que tú quieras o no quieras .
829,si Rupert se salió a su de su casa a los trece años .
830,y el niño tiene dieciséis .
831,y está en la casa todavía .
832,y arriba eso está haciéndole las carticas esas de pronunciation .
833,I know .
834,I know .
835,I didn't like that but ...
836,pero si es normal .
837,para eso es que tenemos nosotros los hijos no ?
838,malcriarlos y cuando sean grandes se cogen su camino .
839,no no no no .
840,Paco is a really responsible kid .
841,I mean considering /.
842,exactamente exactamente .
843,he I mean I'm not saying that he is right .
844,but you know he could be doing so many other stuff .
845,he could be besides failing because well he is failing in some of his classes .
846,he /.
847,okay let's think about a normal family .
848,no normal kid runs a company .
849,well let's just not call it a company .
850,no normal kid would be able to pick up a phone talk to another adult .
851,let him know what time the job is gonna happen .
852,call employees .
853,and tell them what time they need to be somewhere at fourteen at fifteen .
854,mhm .
855,you know kids that the only thing they think about is when they're gonna get their new shoes .
856,no no no no no no kid .
857,yes kids .
858,look at me .
859,at what time I get off my house .
860,what do you mean ?
861,a qué edad yo salí de mi casa .
862,habla .
863,pues como a los veinte y no sé cuantos pues era viejísimo .
864,y tú te /.
865,tú no trabajaste antes de eso ?
866,a la escuela .
867,sí a la escuela no la escuela es la escuela .
868,la escuela no tiene nada que ver .
869,mhm .
870,después de salir de la escuela que empecé a trabajar .
871,que tenía mujer .
872,y decía yo que yo era un hombre .
873,todavía yo estaba en mi casa .
874,y cuando me fajaba con mi mujer salía corriendo para mi casa .
875,yeah .
876,cuando venía de trabajar del campo .
877,veinticuatro por seis .
878,yo iba a la a casa de mi mujer .
879,ésa es la casa de mi mujer .
880,mi casa es la casa de mi mamá .
881,mi casa de mi mujer viviendo y todo allá .
882,sí sí aquí llegué .
883,mira aquí hay comida .
884,comida eso es lo que se lleva dentro .
885,en Cuba es comida .
886,en Cuba se lleva comida .
887,en Cuba no hay carros ni zapatos ni ropa ni nada .
888,comida .
889,voy a mi casa a llevar la otra parte de la comida .
890,que tú le llevabas comida a tu mamá .
891,ahhah .
892,como a mi mamá no le gusta la suciedad pues yo entonces traía los animales vivos .
893,ya .
894,y los mataba allá .
895,ah .
896,y llegaba a mi casa ya con la carne limpia .
897,con la carne limpiecita para tu mami .
898,claro .
899,tan lindo .
