,sentence,pos,language,switch
32,why didn't you check over there ?,pro:int mod pro:per v prep n ?,ENG ENG ENG ENG ENG ENG,0
33,I mean ...,pro:sub v +...,ENG ENG,0
34,yeah .,co .,ENG,0
35,then I think the last page I've got is the on the fifth floor .,adv:tem pro:sub v det:art adj n pro:sub part cop det:art prep det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
36,we should ask this guy a question in Spanish .,pro:sub mod v det:dem n det:art n prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
37,.,None,,0
38,cómo te sientes ?,pro:int pro:obj v ?,ENG ENG ENG,0
39,cómo te sientes ?,pro:int pro:obj v ?,ENG ENG ENG,0
40,.,None,,0
41,we should ask them before and after .,pro:sub mod v pro:obj adv coord prep .,ENG ENG ENG ENG ENG ENG ENG,0
42,.,None,,0
43,yeah yeah we should switch .,co co pro:sub mod v .,ENG ENG ENG ENG ENG,0
44,we should say all the main questions in English all the nice questions in Spanish .,pro:sub mod v qn det:art adj n prep n:prop qn det:art adj n prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
45,.,None,,0
46,oficial policía .,adj n .,ENG ENG,0
47,how would you say like officer in Spanish ?,pro:int mod pro:per v co n prep n:prop ?,ENG ENG ENG ENG ENG ENG ENG ENG,0
48,señor .,co:voc .,ENG,0
49,I would have to say oficial right ?,pro:sub mod v inf v L2 adj ?,ENG ENG ENG ENG ENG ESP ENG,1
50,oficial .,adj .,ENG,0
51,oficial ?,adj ?,ENG,0
52,I mean that sounds ...,pro:sub v adv n +...,ENG ENG ENG ENG,0
53,you wouldn't say policía because that's ...,pro:per mod v L2 conj pro:dem +...,ENG ENG ENG ESP ENG ENG,1
54,yeah oficial yeah oficial .,co L2 co L2 .,ENG ESP ENG ESP,1
55,yeah .,co .,ENG,0
56,because I mean like if it's a detective you just say like you know detective .,conj pro:sub v prep conj pro:per det:art n pro:per adv v prep pro:per v n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
57,un detective sí .,L2 n L2 .,ESP ENG ESP,1
58,.,None,,0
59,oficial .,adj .,ENG,0
60,make it sound better .,v pro:per v adj .,ENG ENG ENG ENG,0
61,uhuh .,co .,ENG,0
62,because if you it sounds very ...,conj conj pro:per pro:per v adv +...,ENG ENG ENG ENG ENG ENG,0
63,actually you don't want to tell someone you know in fascist Argentina .,adv pro:per mod v inf v pro:indef pro:per v prep adj L2 .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ESP,1
64,you know like that's ...,pro:per v prep pro:dem +...,ENG ENG ENG ENG,0
65,.,None,,0
66,or in fascist Chile .,coord prep adj n:prop .,ENG ENG ENG ENG,0
67,oficial .,adj .,ENG,0
68,oficial .,adj .,ENG,0
69,.,None,,0
70,.,None,,0
71,yeah actually like /.,co adv co +/.,ENG ENG ENG,0
72,you don't call your best friend oficial .,pro:per mod v det:poss adj n L2 .,ENG ENG ENG ENG ENG ENG ESP,1
73,like that's ...,co pro:dem +...,ENG ENG,0
74,did you know where the term fascism comes from ?,mod pro:per v pro:int det:art n n v prep ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
75,no .,co .,ENG,0
76,like I was watching ah Rome with my dad .,conj pro:sub aux part co n:prop prep det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
77,mhm .,co .,ENG,0
78,that mini series well it was like a show like a full length H_b_o show .,det:dem adj n n pro:per cop prep det:art n prep det:art adj n n:prop n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
79,and there was a staff like a huge staff ...,coord adv cop det:art n prep det:art adj n +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
80,right !,co !,ENG,0
81,with ah the eagle .,prep co det:art n .,ENG ENG ENG ENG,0
82,okay .,co .,ENG,0
83,which is like the it's like //.,pro:rel cop co det:art pro:per conj +//.,ENG ENG ENG ENG ENG ENG,0
84,I forgot the name for the actual emblem .,pro:sub v det:art n prep det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
85,but it's it's some particular thing that signifies the legion .,conj pro:per pro:per qn adj n pro:rel v det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
86,you know that signifies the Caesar .,pro:per v pro:dem v det:art n:prop .,ENG ENG ENG ENG ENG ENG,0
87,and it's called the .,coord pro:per part det:art .,ENG ENG ENG ENG,0
88,the oh okay .,det:art co co .,ENG ENG ENG,0
89,so so like that staff is a symbol of state so fascism .,co adv prep pro:dem n cop det:art n prep n co n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
90,the statism yeah that's ...,det:art n co pro:dem +...,ENG ENG ENG ENG,0
91,yeah .,co .,ENG,0
92,Caesar that's awesome .,n:prop pro:dem adj .,ENG ENG ENG,0
93,so yeah .,co co .,ENG ENG,0
94,yeah so like he told me about that .,co adv conj pro:sub v pro:obj prep pro:dem .,ENG ENG ENG ENG ENG ENG ENG ENG,0
95,"I was like ""/.","pro:sub cop prep +""/.",ENG ENG ENG,0
96,yeah it's pretty cool .,co pro:per adj adj .,ENG ENG ENG ENG,0
97,like I didn't know that .,conj pro:sub mod v pro:dem .,ENG ENG ENG ENG ENG,0
98,yeah so ...,co co +...,ENG ENG,0
99,now I just have to start calling you fascist instead of a communist which is ridiculous and stuff .,adv pro:sub adv v inf v part pro:per adj adv prep det:art n pro:rel cop adj coord n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
100,it's like ...,pro:per conj +...,ENG ENG,0
101,boggle my mind .,v det:poss n .,ENG ENG ENG,0
102,there's no difference .,pro:exist qn n .,ENG ENG ENG,0
103,that's the thing .,pro:dem det:art n .,ENG ENG ENG,0
104,like if ...,co conj +...,ENG ENG,0
105,yes there is .,co adv cop .,ENG ENG ENG,0
106,as my friend always brings up it's like if you take like the two polar extremes are curved you know .,prep det:poss n adv v prep pro:per conj conj pro:per v prep det:art det:num adj n aux part pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
107,mhm .,co .,ENG,0
108,so at the high point of the curve they are at opposite ends .,adv prep det:art n n prep det:art n pro:sub cop prep n n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
109,but as you get lower on the curve or higher on the curve they start to converge .,conj prep pro:per v v prep det:art n coord adj prep det:art n pro:sub v inf v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
110,that's an interesting way to look at it .,pro:dem det:art adj n inf v prep pro:per .,ENG ENG ENG ENG ENG ENG ENG ENG,0
111,because think about it you know .,conj v prep pro:per pro:per v .,ENG ENG ENG ENG ENG ENG,0
112,fascist Italy and communist Soviet Union not that different you know .,adj n:prop coord adj n:prop n:prop neg det:dem adj pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
113,but they fought .,conj pro:sub v .,ENG ENG ENG,0
114,so I mean ...,co pro:sub v +...,ENG ENG ENG,0
115,.,None,,0
116,you know what I mean ?,pro:per v pro:int pro:sub v ?,ENG ENG ENG ENG ENG,0
117,so what's the difference ?,adv pro:int det:art n ?,ENG ENG ENG ENG,0
118,you know it's a state governed /.,pro:per v pro:per det:art n part +/.,ENG ENG ENG ENG ENG ENG,0
119,so it's the name of the brand man so .,adv pro:per det:art n prep det:art adj n co .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
120,yeah it's like government //.,co pro:per conj n +//.,ENG ENG ENG ENG,0
121,yeah well it's not state it's government you know .,co adv pro:per neg v pro:per n pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
122,it's management .,pro:per n .,ENG ENG,0
123,I mean yeah it's whatever you know .,pro:sub v co pro:per pro:int pro:per v .,ENG ENG ENG ENG ENG ENG ENG,0
124,so ...,co +...,ENG,0
125,I shot an A_k yesterday .,pro:sub v det:art n:prop adv:tem .,ENG ENG ENG ENG ENG,0
126,I was gonna ask you that .,pro:sub aux part v pro:per pro:dem .,ENG ENG ENG ENG ENG ENG,0
127,I was gonna ask you about the gun .,pro:sub aux part v pro:per prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
128,what were you gonna ask me ?,pro:int cop pro:per part v pro:obj ?,ENG ENG ENG ENG ENG ENG,0
129,that was delicious .,pro:dem cop adj .,ENG ENG ENG,0
130,that was amazing .,pro:dem aux part .,ENG ENG ENG,0
131,I have a bruise on my shoulder right now from the rifle that I shot .,pro:sub v det:art n prep det:poss n adv adv prep det:art n pro:rel pro:sub v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
132,you ever seen the movie Enemy_at_the_gates ?,pro:per adv part det:art n n:prop ?,ENG ENG ENG ENG ENG ENG,0
133,yes .,co .,ENG,0
134,.,None,,0
135,you know the rifle he has .,pro:per v det:art n pro:sub v .,ENG ENG ENG ENG ENG ENG,0
136,yes .,co .,ENG,0
137,this super accurate gigantic man rifle he's got .,pro:dem adj adj adj n n pro:sub part .,ENG ENG ENG ENG ENG ENG ENG ENG,0
138,mhm .,co .,ENG,0
139,I shot that .,pro:sub v comp .,ENG ENG ENG,0
140,a man rifle yeah .,det:art n n co .,ENG ENG ENG ENG,0
141,destroyed my shoulder .,v det:poss n .,ENG ENG ENG,0
142,nice .,adj .,ENG,0
143,it literally felt like the second I pulled the trigger there was this small like gnome right at the hundred yard mark who ran over and then punched me in the shoulder and ran back behind the target .,pro:per adv v conj det:art adv pro:sub v det:art n adv cop det:dem adj co n adv prep det:art det:num n n pro:rel v adv coord adv:tem v pro:obj prep det:art n coord v adv prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
144,nice nice .,adj adj .,ENG ENG,0
145,red like from here to here .,adj prep prep n prep n .,ENG ENG ENG ENG ENG ENG,0
146,nice .,adj .,ENG,0
147,it's beautiful .,pro:per adj .,ENG ENG,0
148,Dave shot it one time .,n:prop n pro:per det:num n .,ENG ENG ENG ENG ENG,0
149,and then he's got this black and blue bruise .,coord adv:tem pro:sub part det:dem n coord adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
150,nice .,adj .,ENG,0
151,.,None,,0
152,what's that called the like the ...,pro:int pro:rel v det:art co det:art +...,ENG ENG ENG ENG ENG ENG,0
153,recoil .,n .,ENG,0
154,recoil .,n .,ENG,0
155,I was gonna say backlash .,pro:sub aux part v n .,ENG ENG ENG ENG ENG,0
156,yeah .,co .,ENG,0
157,but it's essentially the same .,conj pro:per adv det:art adj .,ENG ENG ENG ENG ENG,0
158,it's pretty much the same thing .,pro:per adj adv det:art adj n .,ENG ENG ENG ENG ENG ENG,0
159,but when you're talking about guns it's recoil .,conj pro:int pro:per part prep n pro:per n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
160,right .,co .,ENG,0
161,after that I shot the A_k like maybe a hundred times .,prep adv pro:sub v det:art n:prop co adv det:art det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
162,and that that was nothing .,coord comp pro:dem cop pro:indef .,ENG ENG ENG ENG ENG,0
163,compared to that first rifle that was nothing .,part inf adv adj n pro:rel cop pro:indef .,ENG ENG ENG ENG ENG ENG ENG ENG,0
164,yeah .,co .,ENG,0
165,you have to see Lord_of_war because Lord_of_war like the centre piece weapon in Lord_of_war is the A_k the Kalashnikov you know .,pro:per v inf v n:prop conj n:prop prep det:art n n n prep n:prop cop det:art n:prop det:art n:prop pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
166,yeah .,co .,ENG,0
167,like he goes into this monologue about like all the benefits of a Kalashnikov .,conj pro:sub v prep det:dem n adv prep qn det:art n prep det:art n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
168,and it's the weapon .,coord pro:per det:art n .,ENG ENG ENG ENG,0
169,and it's like the /.,coord pro:per conj det:art +/.,ENG ENG ENG ENG,0
170,you know how they market //.,pro:per v pro:int pro:sub v +//.,ENG ENG ENG ENG ENG,0
171,I mean I'm sure you know this .,pro:sub v pro:sub adj pro:per v det:dem .,ENG ENG ENG ENG ENG ENG ENG,0
172,but do you know how they marketed the Kalashnikov ?,conj v pro:per v pro:int pro:sub v det:art n:prop ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
173,no .,co .,ENG,0
174,the first time around ?,det:art adj n adv ?,ENG ENG ENG ENG,0
175,the first time they marketed it they said I can clear a soccer field with four hundred men like that four hundred men with ten of mine .,det:art adj n pro:sub v pro:per pro:sub v pro:sub mod adv det:art n n prep det:num det:num n prep pro:dem det:num det:num n prep det:num prep pro:poss .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
176,give me ten Kalashnikovs and ten men and I will clear a football field with four hundred people .,v pro:obj det:num n:prop coord det:num n coord pro:sub mod adv det:art n n prep det:num det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
177,Jesus .,n:prop .,ENG,0
178,how long ?,pro:int adv ?,ENG ENG,0
179,"they asked "".","pro:sub v +"".",ENG ENG,0
180,four seconds .,det:num n .,ENG ENG,0
181,four seconds ?,det:num n ?,ENG ENG,0
182,what do the other guys have ?,pro:int v det:art qn n v ?,ENG ENG ENG ENG ENG ENG,0
183,well nothing .,co pro:indef .,ENG ENG,0
184,they have rocks ?,pro:sub v n ?,ENG ENG ENG,0
185,you have four seconds to throw a rock .,pro:per v det:num n inf v det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
186,you know you never /.,pro:per v pro:per adv +/.,ENG ENG ENG ENG,0
187,tirando piedras .,ger n .,ENG ENG,0
188,you know I realized yesterday why people don't use full auto when they shoot .,pro:per v pro:sub v adv:tem pro:int n mod n adj n conj pro:sub co .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
189,and it's because I heard someone shoot an A_k full auto thirty rounds .,coord pro:per conj pro:sub v pro:indef v det:art n:prop adj n det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
190,it took about four seconds .,pro:per v prep det:num n .,ENG ENG ENG ENG ENG,0
191,the entire magazine gone .,det:art adj n part .,ENG ENG ENG ENG,0
192,it was like one two three four done .,pro:per cop prep det:num det:num det:num det:num part .,ENG ENG ENG ENG ENG ENG ENG ENG,0
193,it was a whole magazine .,pro:per cop det:art adj n .,ENG ENG ENG ENG ENG,0
194,they've now wasted thirty rounds of ammunition .,pro:sub adv part det:num n prep n .,ENG ENG ENG ENG ENG ENG ENG,0
195,it probably cost them twenty dollars in four seconds in four or five seconds .,pro:per adv v pro:obj det:num n prep det:num n prep det:num coord det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
196,yeah .,co .,ENG,0
197,I mean if you have your target in place I mean you want to unleash .,pro:sub v comp pro:per v det:poss n prep n pro:sub v pro:per v inf un#v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
198,do it .,mod pro:per .,ENG ENG,0
199,go full auto you know but .,v adj n pro:per v conj .,ENG ENG ENG ENG ENG ENG,0
200,that's why they use three round burst .,pro:dem pro:int pro:sub v det:num n v .,ENG ENG ENG ENG ENG ENG ENG,0
201,that's why they use three round //.,pro:dem pro:int pro:sub v det:num n +//.,ENG ENG ENG ENG ENG ENG,0
202,and the three round burst is pretty fast .,coord det:art det:num n n cop adv adv .,ENG ENG ENG ENG ENG ENG ENG ENG,0
203,it's .,pro:per .,ENG,0
204,but at least with three round you hit in the same place .,conj prep n prep det:num adj pro:per v prep det:art adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
205,yeah .,co .,ENG,0
206,I was shooting it shot by shot with the Kalashnikov at twenty five yards .,pro:sub aux part pro:per v adv v prep det:art n:prop prep det:num det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
207,this was the spray you know .,pro:dem cop det:art n pro:per v .,ENG ENG ENG ENG ENG ENG,0
208,this was the area I was hitting .,pro:dem cop det:art n pro:sub aux part .,ENG ENG ENG ENG ENG ENG ENG,0
209,it's not an accurate gun at all .,pro:per neg det:art adj n prep pro:indef .,ENG ENG ENG ENG ENG ENG ENG,0
210,the other rifle on the other hand is .,det:art qn n prep det:art qn n cop .,ENG ENG ENG ENG ENG ENG ENG ENG,0
211,the only problem is after you shoot it once you don't want to shoot it again .,det:art qn n cop prep pro:per v pro:per adv pro:per mod v inf v pro:per adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
212,so the first time you shoot you hit dead on the mark .,co det:art adj n pro:per v pro:per v adj prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
213,but the next time you shoot you kind of like anticipate .,conj det:art adj n pro:per v pro:per n prep co v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
214,and you start getting nervous like right //.,coord pro:per v part adj prep co +//.,ENG ENG ENG ENG ENG ENG ENG,0
215,this is what's so funny .,pro:dem cop pro:int adv adj .,ENG ENG ENG ENG ENG,0
216,I'm holding it .,pro:sub part pro:per .,ENG ENG ENG,0
217,and I can see my breath moving the end of the gun little by little .,coord pro:sub mod v det:poss n part det:art n prep det:art n adj prep adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
218,hm .,co .,ENG,0
219,and then I put my finger on the trigger .,coord adv:tem pro:sub v det:poss n prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
220,and I know it's gonna hurt me .,coord pro:sub v pro:per part v pro:obj .,ENG ENG ENG ENG ENG ENG ENG,0
221,and then you see my rifle start doing this .,coord adv:tem pro:per v det:poss n v part pro:dem .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
222,pretty funny .,adv adj .,ENG ENG,0
223,it's an experience man .,pro:per det:art n n .,ENG ENG ENG ENG,0
224,you should come .,pro:per mod v .,ENG ENG ENG,0
225,did you fire anything smaller than a rifle or ..?,mod pro:per v pro:indef adj prep det:art n coord +..?,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
226,no I fired a really crappy rifle .,co pro:sub v det:art adv adj n .,ENG ENG ENG ENG ENG ENG ENG,0
227,David's rifle .,adj n .,ENG ENG,0
228,it's a twenty two .,pro:per det:art det:num det:num .,ENG ENG ENG ENG,0
229,it sounds like .,pro:per v prep .,ENG ENG ENG,0
230,it's ...,pro:per +...,ENG,0
231,so it fits David's personality .,co pro:per v adj n .,ENG ENG ENG ENG ENG,0
232,you know just kind of like .,pro:per v adj n prep co .,ENG ENG ENG ENG ENG ENG,0
233,oh yeah actually yeah it kind of does .,co co adv co pro:per n prep v .,ENG ENG ENG ENG ENG ENG ENG ENG,0
234,.,None,,0
235,yeah I asked Carlos .,co pro:sub v n:prop .,ENG ENG ENG ENG,0
236,and he says he's down to oversee today's proceedings with Todd and stuff .,coord pro:sub v pro:sub adv prep over#v adv:tem n:gerund prep n:prop coord n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
237,interesting okay .,adj adj .,ENG ENG,0
238,I think he's gonna offer a good perspectives like good notes .,pro:sub v pro:sub part v det:art adj n prep adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
239,like I didn't talk to him too much yesterday about it .,conj pro:sub mod v prep pro:obj adv adv adv:tem adv pro:per .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
240,I just brought it up but so .,pro:sub adv v pro:per adv conj adv .,ENG ENG ENG ENG ENG ENG ENG,0
241,you know I figure for the first hour we can just get the questions out of the way .,pro:per v pro:sub v prep det:art adj n pro:sub mod adv v det:art n adv prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
242,it might take an hour .,pro:per mod v det:art n .,ENG ENG ENG ENG ENG,0
243,write down all the questions all of them everything we can come up with .,v adv qn det:art n post prep pro:obj pro:indef pro:sub mod v adv prep .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
244,and then we have two hours to kind of practice .,coord adv:tem pro:sub v det:num n prep n prep n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
245,yeah .,co .,ENG,0
246,yeah we can role play .,co pro:sub mod n n .,ENG ENG ENG ENG ENG,0
247,we can you know ...,pro:sub mod pro:per v +...,ENG ENG ENG ENG,0
248,yeah .,co .,ENG,0
249,he can be a character you know and just ...,pro:sub mod cop det:art n pro:per v coord adv +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
250,yeah .,co .,ENG,0
251,he can be the officer .,pro:sub mod cop det:art n .,ENG ENG ENG ENG ENG,0
252,you can be the officer .,pro:per mod cop det:art n .,ENG ENG ENG ENG ENG,0
253,so ...,co +...,ENG,0
254,and he takes three different shots at him .,coord pro:sub v det:num adj n prep pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG,0
255,I mean he can lie the first time or ...,pro:sub v pro:sub mod v det:art adj n coord +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
256,tell the truth the second time .,v det:art n det:art adj n .,ENG ENG ENG ENG ENG ENG,0
257,are you gonna turn off your thing ?,cop pro:per part v prep det:poss n ?,ENG ENG ENG ENG ENG ENG ENG,0
258,my what ?,det:poss pro:int ?,ENG ENG,0
259,your little cube ?,det:poss adj n ?,ENG ENG ENG,0
260,no no I'm charging it .,co co pro:sub part pro:per .,ENG ENG ENG ENG ENG,0
261,oh okay .,co co .,ENG ENG,0
262,like a yeah .,prep det:art co .,ENG ENG ENG,0
263,I got nervous today man .,pro:sub v adj adv:tem v .,ENG ENG ENG ENG ENG,0
264,I went upstairs .,pro:sub v adv .,ENG ENG ENG,0
265,I need to get there early on Wednesday .,pro:sub v inf v adv adv prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG,0
266,because I was like .,conj pro:sub cop prep .,ENG ENG ENG ENG,0
267,like I got a little nervous you know .,conj pro:sub v det:art adj adj pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG,0
268,so ...,co +...,ENG,0
269,I mean I think it's just jitters that are gonna go away within like five minutes .,pro:sub v pro:sub v pro:per adj n pro:rel aux part v adv prep co det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
270,I just need to like breath in the musk of that room you know .,pro:sub adv v inf co n prep det:art n prep det:dem n pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
271,you're .,pro:per .,ENG,0
272,you're talking about the jitters you get when you go up there .,pro:per part prep det:art n pro:per v conj pro:per v prep n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
273,yeah like just the .,co prep adv det:art .,ENG ENG ENG ENG,0
274,it happens to me every single time .,pro:per v prep pro:obj qn adj n .,ENG ENG ENG ENG ENG ENG ENG,0
275,yeah .,co .,ENG,0
276,I saw the woman .,pro:sub v det:art n .,ENG ENG ENG ENG,0
277,I saw the director .,pro:sub v det:art n .,ENG ENG ENG ENG,0
278,you saw the dark Sith lord .,pro:per v det:art n n:prop n .,ENG ENG ENG ENG ENG ENG,0
