,sentence,pos,language,switch
78,and do you live /.,coord v pro:per adj +/.,ENG ENG ENG ENG,0
79,I live in Miami yeah .,pro:sub v prep n:prop co .,ENG ENG ENG ENG ENG,0
80,but where ?,conj pro:rel ?,ENG ENG,0
81,.,None,,0
82,you have to tell me a place because ...,pro:per v inf v pro:obj det:art n conj +...,ENG ENG ENG ENG ENG ENG ENG ENG,0
83,yeah .,co .,ENG,0
84,.,None,,0
85,you know how women are in directions .,pro:per v pro:rel n cop adv n .,ENG ENG ENG ENG ENG ENG ENG,0
86,.,None,,0
87,you have to give them a landmark .,pro:per v inf v pro:obj det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
88,yeah .,co .,ENG,0
89,how about ...,pro:int adv +...,ENG ENG,0
90,well it's off of Bird road .,co pro:per adv prep n:prop n .,ENG ENG ENG ENG ENG ENG,0
91,I'm sure you know where Bird road is right ?,pro:sub adj pro:per v pro:rel n:prop n cop co ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
92,yes .,co .,ENG,0
93,right .,co .,ENG,0
94,can we use Bird Bowl ?,mod pro:sub v n:prop n:prop ?,ENG ENG ENG ENG ENG,0
95,Bird what Mall .,n:prop pro:int n:prop .,ENG ENG ENG,0
96,Bird Bowl .,n:prop n:prop .,ENG ENG,0
97,Bird Bowl yeah yeah .,n:prop n:prop co co .,ENG ENG ENG ENG,0
98,you've been to Bird_Bowl .,pro:per cop prep n:prop .,ENG ENG ENG ENG,0
99,no I have seen it but /.,co pro:sub v part pro:per conj +/.,ENG ENG ENG ENG ENG ENG,0
100,.,None,,0
101,never been there .,adv cop adv .,ENG ENG ENG,0
102,Bird_Bowl farther west .,n:prop adj n .,ENG ENG ENG,0
103,.,None,,0
104,way farther west like Bird_Bowl is around like ninetieth avenue .,adv adj n conj n:prop cop adv prep adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
105,ninety second .,det:num n .,ENG ENG,0
106,yeah I'm around one fifty second .,co pro:sub prep det:num det:num n .,ENG ENG ENG ENG ENG ENG,0
107,yeah .,co .,ENG,0
108,.,None,,0
109,see that's what I'm saying way west .,co pro:dem pro:int pro:sub part adv adv .,ENG ENG ENG ENG ENG ENG ENG,0
110,okay .,co .,ENG,0
111,I don't //.,pro:sub mod +//.,ENG ENG,0
112,Lakes_of_the_Meadow you never heard of it ?,n:prop pro:per adv v prep pro:per ?,ENG ENG ENG ENG ENG ENG,0
113,yes .,co .,ENG,0
114,that's where I live Lakes_of_the_Meadow .,pro:dem pro:int pro:sub v n:prop .,ENG ENG ENG ENG ENG,0
115,I've inputted //.,pro:sub part +//.,ENG ENG,0
116,oh wait I haven't told you .,co v pro:sub aux part pro:per .,ENG ENG ENG ENG ENG ENG,0
117,yeah .,co .,ENG,0
118,job description .,n n .,ENG ENG,0
119,.,None,,0
120,what I told you is pretty much you know the receptionist the administrative assistant stuff is mostly for okay both companies do that .,pro:int pro:sub v pro:per cop adv adv pro:per v det:art n det:art adj n n cop adv prep co qn n v pro:dem .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
121,postclosers for the title company .,n prep det:art n n .,ENG ENG ENG ENG ENG,0
122,I also process files like when they come in a new file you know request title .,pro:sub adv v n prep conj pro:sub v adv det:art adj n pro:per v n n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
123,right .,co .,ENG,0
124,okay then for the broker the realtors don't have to input their own listings I input them for them .,co adv:tem prep det:art n det:art n mod v inf v det:poss adj n:gerund pro:sub v pro:obj prep pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
125,mhm .,co .,ENG,0
126,oh I see .,co pro:sub v .,ENG ENG ENG,0
127,so if a house is going up for sale you know they bring me the listing I input it into this MLS it's the system or whatever .,adv comp det:art n aux part adv prep n pro:per v pro:sub v pro:obj det:art n:gerund pro:sub v pro:per prep det:dem n:prop pro:per det:art n coord pro:int .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
128,yeah yeah I know what you're doing now .,co co pro:sub v pro:int pro:per part adv .,ENG ENG ENG ENG ENG ENG ENG ENG,0
129,and .,coord .,ENG,0
130,most of them don't know what they're doing .,qn prep pro:obj mod v pro:int pro:sub part .,ENG ENG ENG ENG ENG ENG ENG ENG,0
131,they don't know the forms .,pro:sub mod v det:art n .,ENG ENG ENG ENG ENG,0
132,it's really bad .,pro:per adv adj .,ENG ENG ENG,0
133,because I //.,conj pro:sub +//.,ENG ENG,0
134,If you see I have so much to do that when they come to me and they tell me you know how to do their job it annoys me .,n:prop pro:per v pro:sub v adv qn inf v pro:dem conj pro:sub v prep pro:obj coord pro:sub v pro:obj pro:per v pro:int inf v det:poss n pro:per v pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
135,because I don't have time to babysit them .,conj pro:sub mod v n inf v pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG,0
136,.,None,,0
137,what happened ?,pro:int v ?,ENG ENG,0
138,your Cuban comes out .,det:poss n:prop v adv .,ENG ENG ENG ENG,0
139,yeah .,co .,ENG,0
140,and then like if I have to go to the bank to do deposits .,coord adv:tem v conj pro:sub v inf v prep det:art n inf v n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
141,yeah actually like last week I had interviewed back in November I had interviewed with an insurance company and this lady she emailed me out of nowhere last week and told me oh you know are you happy where you are because you know the girl that we hired back in November she has been promoted /.,co adv v adj n pro:sub v part adv prep n:prop pro:sub aux part prep det:art n n coord det:dem n pro:sub part pro:obj adv prep n adj n coord v pro:obj co pro:per v aux pro:per adj pro:rel pro:per cop conj pro:per v det:art n pro:rel pro:sub v adv prep n:prop pro:sub aux aux part +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
142,mhm .,co .,ENG,0
143,are you you know interested in and I was like //.,cop pro:per pro:per v part adv coord pro:sub cop co +//.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
144,I wrote back to her I was like well I'm not really happy where I am and she goes ...,pro:sub v adv prep pro:obj pro:sub cop prep n pro:sub neg adv adj pro:rel pro:sub cop coord pro:sub v +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
145,oh no and she writes back to me and she is like oh we're interested you know eleven dollars an hour .,co co coord pro:sub v adv prep pro:obj coord pro:sub cop co co pro:sub part pro:per v det:num n det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
146,I'm like oh really you know .,pro:sub co co adv pro:per v .,ENG ENG ENG ENG ENG ENG,0
147,mhm .,co .,ENG,0
148,and then maybe you make more than I do but whatever .,coord adv:tem adv pro:per v qn prep pro:sub v conj pro:int .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
149,is that's not it doesn't matter .,aux pro:dem neg pro:per mod v .,ENG ENG ENG ENG ENG ENG,0
150,no .,co .,ENG,0
151,I told my attorneys and the broker .,pro:sub v det:poss n coord det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
152,I sat them down and I'm like look this is what's going on .,pro:sub v pro:obj adv coord pro:sub co v pro:dem cop pro:int part adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
153,and they are like oh you know thank you for letting me know .,coord pro:sub cop co co pro:per v v pro:per prep n:gerund pro:obj v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
154,mhm .,co .,ENG,0
155,but then they told me oh no you know we'll raise you starting next week you'll start at ten and then in two months we'll start you at eleven .,conj adv:tem pro:sub v pro:obj co co pro:per v pro:sub v pro:per part adv n pro:per v prep det:num coord adv:tem prep det:num n pro:sub v pro:per prep det:num .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
156,yeah .,co .,ENG,0
157,so it's good because I don't wanna leave where I am .,adv pro:per adj conj pro:sub mod v v pro:int pro:sub cop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
158,I mean I've been there for two years .,pro:sub v pro:sub cop adv prep det:num n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
159,that's not bad .,pro:dem neg adj .,ENG ENG ENG,0
160,I know my job like the back of my hand .,pro:sub v det:poss n prep det:art n prep det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
161,and then if I leave to the insurance company I'd be learning everything from scratch .,coord adv:tem conj pro:sub v prep det:art n n pro:sub aux n:gerund pro:indef prep n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
162,you'd have to start over yeah I know and you should stay .,pro:per v inf v adv co pro:sub v coord pro:per mod v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
163,I don't know the people so I don't know if their /.,pro:sub mod v det:art n conj pro:sub mod v comp det:poss +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
164,no you should stay .,co pro:per mod v .,ENG ENG ENG ENG,0
165,the lady seems a little anal .,det:art n cop det:art adj adj .,ENG ENG ENG ENG ENG ENG,0
166,yeah .,co .,ENG,0
167,so .,co .,ENG,0
168,what's your major by the way ?,pro:int det:poss n prep det:art n ?,ENG ENG ENG ENG ENG ENG,0
169,my major /.,det:poss n +/.,ENG ENG,0
170,mhm .,co .,ENG,0
171,undecided .,un#part .,ENG,0
172,why are you undecided ?,pro:int aux pro:per un#part ?,ENG ENG ENG ENG,0
173,declared undecided but ...,part un#part conj +...,ENG ENG ENG,0
174,okay .,co .,ENG,0
175,I want to become an optometrist .,pro:sub v inf cop det:art n .,ENG ENG ENG ENG ENG ENG,0
176,oh really ?,co adv ?,ENG ENG,0
177,yeah .,co .,ENG,0
178,maybe even an ophthalmologist if I go the nerve to go to med school .,adv v det:art n conj pro:sub v det:art n inf v prep n n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
179,you can help me out because I have bad eyes .,pro:per mod v pro:obj adv conj pro:sub v adj n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
180,I have contacts .,pro:sub v n .,ENG ENG ENG,0
181,me too .,pro:obj adv .,ENG ENG,0
182,really ?,adv ?,ENG,0
183,what's your prescription ?,pro:int det:poss n ?,ENG ENG ENG,0
184,I think damn you know I don't .,pro:sub v v pro:per v pro:sub mod .,ENG ENG ENG ENG ENG ENG ENG,0
185,oh wait oh no no no yeah negative three point two five in one negative three point five in the other .,co co co co co co co n det:num n det:num det:num prep det:num n det:num n det:num prep det:art qn .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
186,mhm .,co .,ENG,0
187,you think you're bad hm !,pro:per v pro:per adj co !,ENG ENG ENG ENG ENG,0
188,.,None,,0
189,I have a negative six .,pro:sub v det:art n det:num .,ENG ENG ENG ENG ENG,0
190,is it //.,aux pro:per +//.,ENG ENG,0
191,oh my God really ?,co det:poss n:prop adv ?,ENG ENG ENG ENG,0
192,point seventy five .,v det:num det:num .,ENG ENG ENG,0
193,and then negative five point .,coord adv:tem n det:num n .,ENG ENG ENG ENG ENG,0
194,no it's negative six point five and negative five seventy five .,co pro:per adj det:num n det:num coord adj det:num det:num det:num .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
195,de verdad ?,prep co ?,ENG ENG,0
196,so if you think you're blind you should have my eyes for a few days .,adv conj pro:per v pro:per adj pro:per mod v det:poss n prep det:art qn n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
197,so when you take your contacts out you can't see /.,co conj pro:per v det:poss n adv pro:per mod v +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
198,I can't see crap .,pro:sub mod v n .,ENG ENG ENG ENG,0
199,really ?,adv ?,ENG,0
200,yeah I can't see anything .,co pro:sub mod v pro:indef .,ENG ENG ENG ENG ENG,0
201,I thought I was the only one on that boat .,pro:sub v pro:sub cop det:art qn pro:indef prep det:dem n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
202,no because when I //.,co conj conj pro:sub +//.,ENG ENG ENG ENG,0
203,I //.,pro:sub +//.,ENG,0
204,well you know what I hate the most is //.,co pro:per v pro:int pro:sub v det:art qn cop +//.,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
205,and I should get glasses //.,coord pro:sub mod v n +//.,ENG ENG ENG ENG ENG,0
206,I had glasses .,pro:sub v n .,ENG ENG ENG,0
207,I loose things so .,pro:sub v n adv .,ENG ENG ENG ENG,0
208,.,None,,0
209,but like when I'm watching t_v and it's getting late I just wanna fall asleep watching t_v .,conj prep pro:int pro:sub part n coord pro:per part adv pro:sub adv v v adv part n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
210,so you don't wear .,co pro:per mod v .,ENG ENG ENG ENG,0
211,but yeah I have to take them out you know .,conj co pro:sub v inf v pro:obj adv pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
212,yeah .,co .,ENG,0
213,so that's what sucks you know .,co pro:dem pro:int n pro:per v .,ENG ENG ENG ENG ENG ENG,0
214,yeah .,co .,ENG,0
215,and I'm looking at .,coord pro:sub part prep .,ENG ENG ENG ENG,0
216,well what sucks for me /.,co pro:int n prep pro:obj +/.,ENG ENG ENG ENG ENG,0
217,squinting you know .,part pro:per v .,ENG ENG ENG,0
218,when I get home I take off my not really before I go to bed I take off my contacts and obviously I have my glasses .,conj pro:sub v adv pro:sub v prep det:poss neg adv prep pro:sub v prep n pro:sub v prep det:poss n coord adv pro:sub v det:poss n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
219,but I put them on and then if I take them off and I put them down somewhere forget it I lost them .,conj pro:sub v pro:obj adv coord adv:tem conj pro:sub v pro:obj adv coord pro:sub v pro:obj adv adv v pro:per pro:sub v pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
220,mhm .,co .,ENG,0
221,I can't see them .,pro:sub mod v pro:obj .,ENG ENG ENG ENG,0
222,so I have to like feel around for them so /.,co pro:sub v inf v v adv prep pro:obj adv +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
223,oh okay .,co co .,ENG ENG,0
224,so you can't see up close either .,co pro:per mod v adv adj adv .,ENG ENG ENG ENG ENG ENG ENG,0
225,no I can't see far .,co pro:sub mod v adv .,ENG ENG ENG ENG ENG,0
226,okay .,co .,ENG,0
227,I mean you'd have to be like right here for me to see you .,pro:sub v pro:per v inf cop prep adv adv prep pro:obj inf v pro:per .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
228,really ?,adv ?,ENG,0
229,I have twenty twenty from like close like if I didn't have them on I can read fine you know .,pro:sub v det:num det:num prep co adj v conj pro:sub mod v pro:obj adv pro:sub mod v adj pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
230,oh no I can't .,co co pro:sub mod .,ENG ENG ENG ENG,0
231,like I if you know I can read that .,conj pro:sub conj pro:per v pro:sub mod v pro:dem .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
232,oh no .,co co .,ENG ENG,0
233,but you know if like if you were to say what does that say I would ...,conj pro:per v comp v conj pro:per cop inf v pro:int mod pro:dem v pro:sub mod +...,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
234,I like if I was ...,pro:sub v conj pro:sub cop +...,ENG ENG ENG ENG ENG,0
235,no if I had to read this like I had to be like this close /.,co conj pro:sub v inf v pro:dem conj pro:sub v inf cop prep pro:dem adj +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
236,oh really ?,co adv ?,ENG ENG,0
237,to be able to see it yeah it's really bad .,inf cop adj inf v pro:per co pro:per adv adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
238,oh okay .,co co .,ENG ENG,0
239,oh right .,co co .,ENG ENG,0
240,and I'm scared to do Lasik .,coord pro:sub part inf v n:prop .,ENG ENG ENG ENG ENG ENG,0
241,yeah I was thinking about that .,co pro:sub aux part prep pro:dem .,ENG ENG ENG ENG ENG ENG,0
242,what .,pro:int .,ENG,0
243,they well they recommend you to wait till you're twenty five .,pro:sub adv pro:sub v pro:per inf v n pro:per det:num det:num .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
244,oh really ?,co adv ?,ENG ENG,0
245,because it's when your vision kinda just balances out .,conj pro:per conj det:poss n adv adj n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
246,oh .,co .,ENG,0
247,because at first they told me it was twenty one .,conj prep adj pro:sub v pro:obj pro:per cop det:num det:num .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
248,I didn't know that .,pro:sub mod v pro:dem .,ENG ENG ENG ENG,0
249,but I'm twenty one and my vision keeps you know increasing and getting worse .,conj pro:sub det:num det:num coord det:poss n v pro:per v part coord part adj .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
250,yeah it it keeps getting worse yeah .,co pro:per pro:per v part adj co .,ENG ENG ENG ENG ENG ENG ENG,0
251,and I'd say decreasing and then my doctor he's like oh wait till you're twenty five .,coord pro:sub v n:gerund coord adv:tem det:poss n pro:sub co co co n pro:per det:num det:num .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
252,and I'm scared because like if they do it and it doesn't come out right you can't go back to contacts .,coord pro:sub part conj v conj pro:sub v pro:per coord pro:per mod v adv adv pro:per mod v adv prep n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
253,yeah .,co .,ENG,0
254,you have to do glasses .,pro:per v inf v n .,ENG ENG ENG ENG ENG,0
255,so .,co .,ENG,0
256,why can't you go to contacts because /.,pro:int mod pro:per v prep n conj +/.,ENG ENG ENG ENG ENG ENG ENG,0
257,I don't know .,pro:sub mod v .,ENG ENG ENG,0
258,I guess it's something with /.,pro:sub v pro:per pro:indef prep +/.,ENG ENG ENG ENG ENG,0
259,it's yeah something they do that /.,pro:per co pro:indef pro:sub v pro:dem +/.,ENG ENG ENG ENG ENG ENG,0
260,because they cut you know they like cut the like retina off .,conj pro:sub v pro:per v pro:sub v v det:art co n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
261,if they laser it .,conj pro:sub n pro:per .,ENG ENG ENG ENG,0
262,yeah but there's two different kinds of Lasik .,co conj pro:exist det:num adj n prep n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG,0
263,is there ?,cop adv ?,ENG ENG,0
264,yeah there's Lasik and then there is another procedure .,co pro:exist n:prop coord adv:tem adv cop qn n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
265,I saw it on this show it's called Ten_Years_Younger .,pro:sub v pro:per prep det:dem n pro:per part n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
266,mhm mhm .,co co .,ENG ENG,0
267,on TLC I think it's .,prep n:prop pro:sub v pro:per .,ENG ENG ENG ENG ENG,0
268,yeah yeah .,co co .,ENG ENG,0
269,and /.,coord +/.,ENG,0
270,do you like TLC ?,mod pro:per v n:prop ?,ENG ENG ENG ENG,0
271,the yes .,det:art co .,ENG ENG,0
272,that's good I like TLC too .,pro:dem adj pro:sub v n:prop post .,ENG ENG ENG ENG ENG ENG,0
273,and The_Discovery_Channel and all that .,coord n:prop coord qn pro:dem .,ENG ENG ENG ENG ENG,0
274,yeah .,co .,ENG,0
275,The_History_Channel more .,n:prop pro:indef .,ENG ENG,0
276,I'm a t_v buff .,pro:sub det:art n adj .,ENG ENG ENG ENG,0
277,yeah ?,co ?,ENG,0
278,I have a lot of favorite shows .,pro:sub v det:art n prep n n .,ENG ENG ENG ENG ENG ENG ENG,0
279,yeah like what ?,co prep pro:int ?,ENG ENG ENG,0
280,like okay definitely Law_and_Order_S_V_U .,prep adj adv n:prop .,ENG ENG ENG ENG,0
281,which show ?,pro:rel n ?,ENG ENG,0
